image_id,ground_truth
e7ea0752-f24a-4dac-926c-371fda631a0f.jpg,1
cdc7b8e5-1609-4f88-a20d-0dd321f8f489.jpg,0
c954e18f-8ab3-4bff-91d7-a0d7ff000e51.jpg,0
1c5fb5d5-75e0-431f-a03e-e50026f23fe3.jpg,0
fd0dd104-7300-4da3-a46f-6980531ead33.jpg,1
c83a1e71-ffe7-46a1-9ec5-b235357c3e39.jpg,0
56b718b3-2f41-4331-a8d8-13fa11439752.jpg,0
a5f86ae3-b2f3-4026-b5e4-bb918d902c9a.jpg,1
826958f4-16f0-42e1-8adf-d25a0c8e900a.jpg,0
5c754abd-97cd-446e-a8a6-612f94657b37.jpg,1
f07473e3-9a1c-4d64-b8c2-c2ddb89f6848.jpg,0
d2d2b5e1-3e66-41b1-96d1-93a16f7d657a.jpg,1
291ddd03-aed3-4689-aeab-f53c76fc76b9.jpg,0
1a4c2a7e-9dc9-4d95-8719-b78f384af12c.jpg,0
a68060d9-afb8-44be-b5dd-2bdb1183efb6.jpg,1
422b1dd5-5112-459d-90d5-d935023a1d24.jpg,1
d18a3646-048b-4a43-93ec-3590187584d5.jpg,1
8c38ad8d-ced4-4c93-ba65-9e1c40cecea3.jpg,1
3181a00e-2de2-477e-a8a1-6e9544798963.jpg,0
8ebd946c-cc58-4711-8126-273f04ae8f18.jpg,1
703d2c3a-e388-4142-bab8-acea5df570fa.jpg,1
f04237b1-eb33-469d-9123-32304c2f01e0.jpg,1
5755fdb9-e87b-4d1e-bc3e-3a415a4482b0.jpg,1
6a8eb48f-5a90-4606-9eae-08cfc637b39b.jpg,0
bbf1864c-98a2-4f21-9f29-c43383120638.jpg,0
ad7ee347-ec2f-4538-abfa-b624e6c82873.jpg,1
32359080-8693-4053-b1f5-0abaff86f308.jpg,0
b95b619e-cff1-4fd9-8dd1-4a5a27f6242d.jpg,0
30c838bf-5369-4fb7-87b2-c54f614c6fd4.jpg,1
cfdc352a-bc56-4377-967c-912a733b60c3.jpg,0
